phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg,gamma,epsilon,t_vi,n_iterations,t_per_iter,n_wmc_transition,t_wmc_transition,t_per_transition,n_wmc_reward,t_wmc_reward,t_per_reward,t_bellman_total
B,multivalued,1,ddnnf,3,4,5,0.038554890008526854,0.02194691500335466,0.007348272993112914,35,92,92,130,success,,0.9,0.1,0.007952791987918317,2,0.003976395993959159,20,0.005072498999652453,0.00025362494998262266,20,0.0019793750543612987,9.896875271806494e-05,0.0009009179339045659
B,multivalued,1,ddnnf,1,4,5,0.0463053869898431,0.023424422994139604,0.010733727001934312,35,92,92,130,success,,0.9,0.0001,0.009064098994713277,2,0.004532049497356638,20,0.005617751972749829,0.0002808875986374915,20,0.0023684430198045447,0.00011842215099022724,0.0010779040021589026
B,multivalued,1,ddnnf,2,4,5,0.03616797900758684,0.018940087989903986,0.00749863100645598,35,92,92,130,success,,0.9,0.0001,0.008259687005192973,2,0.004129843502596486,20,0.005245043052127585,0.00026225215260637923,20,0.0020668880024459213,0.00010334440012229606,0.0009477559506194666
B,multivalued,1,ddnnf,3,4,5,0.03628051599662285,0.018279411990079097,0.007372937994659878,35,92,92,130,success,,0.9,0.0001,0.008380384999327362,2,0.004190192499663681,20,0.0053211990161798894,0.0002660599508089945,20,0.002084194988128729,0.00010420974940643646,0.000974990995018743
B,multivalued,1,ddnnf,1,4,5,0.041570307992515154,0.020106039999518543,0.008144135004840791,35,92,92,130,success,,0.99,0.1,0.008021879999432713,2,0.004010939999716356,20,0.005072045009001158,0.0002536022504500579,20,0.0020123860012972727,0.00010061930006486364,0.0009374489891342819
B,multivalued,1,ddnnf,2,4,5,0.03957375399477314,0.020284587997593917,0.007381102012004703,35,92,92,130,success,,0.99,0.1,0.008050412987358868,2,0.004025206493679434,20,0.005094804058899172,0.00025474020294495857,20,0.002009733041631989,0.00010048665208159946,0.0009458758868277073
B,multivalued,1,ddnnf,3,4,5,0.03874213699600659,0.018587341997772455,0.007534847012721002,35,92,92,130,success,,0.99,0.1,0.008356600999832153,2,0.004178300499916077,20,0.005266583961201832,0.0002633291980600916,20,0.0020623699529096484,0.00010311849764548242,0.0010276470857206732
B,multivalued,1,ddnnf,1,4,5,0.035557604001951404,0.018847383005777374,0.007630444000824355,35,92,92,130,success,,0.99,0.0001,0.008480325996060856,2,0.004240162998030428,20,0.005326532031176612,0.0002663266015588306,20,0.002170633975765668,0.00010853169878828339,0.000983159989118576
B,multivalued,1,ddnnf,2,4,5,0.04734880400064867,0.0232298690098105,0.01081638500909321,35,92,92,130,success,,0.99,0.0001,0.007932360997074284,2,0.003966180498537142,20,0.005034253044868819,0.00025171265224344097,20,0.001976464001927525,9.882320009637623e-05,0.0009216439502779394
B,multivalued,1,ddnnf,3,4,5,0.04355249699437991,0.023169389009126462,0.007364744000369683,35,92,92,130,success,,0.99,0.0001,0.008199584000976756,2,0.004099792000488378,20,0.005144111011759378,0.0002572055505879689,20,0.002078391014947556,0.0001039195507473778,0.0009770819742698222
B,multivalued,2,ddnnf,1,8,5,0.06336957799794618,0.03968062000058126,0.01384587399661541,63,172,172,250,success,,0.9,0.1,0.028548128000693396,4,0.007137032000173349,40,0.018943743998534046,0.00047359359996335115,40,0.006542171962792054,0.00016355429906980134,0.003062212039367296
B,multivalued,2,ddnnf,2,8,5,0.06307655900309328,0.03911785199306905,0.01459292700747028,63,172,172,250,success,,0.9,0.1,0.028171556987217627,4,0.007042889246804407,40,0.018415990023640916,0.0004603997505910229,40,0.0066086250299122185,0.00016521562574780546,0.0031469419336644933
B,multivalued,2,ddnnf,3,8,5,0.06991148699307814,0.041663834010250866,0.014452814997639507,63,172,172,250,success,,0.9,0.1,0.028189731005113572,4,0.007047432751278393,40,0.018726006979704835,0.00046815017449262084,40,0.00640551105607301,0.00016013777640182524,0.0030582129693357274
B,multivalued,2,ddnnf,1,8,5,0.06328601099085063,0.03962748299818486,0.014145913999527693,63,172,172,250,success,,0.9,0.0001,0.02814455000043381,4,0.0070361375001084525,40,0.018633693965966813,0.00046584234914917035,40,0.006544593969010748,0.0001636148492252687,0.002966262065456249
B,multivalued,2,ddnnf,2,8,5,0.06923452300543431,0.04217209600028582,0.01392282301094383,63,172,172,250,success,,0.9,0.0001,0.02900340300402604,4,0.00725085075100651,40,0.019069732967182063,0.00047674332417955154,40,0.006752641071216203,0.0001688160267804051,0.0031810289656277746
